track_name,album_name,danceability_median,energy_median
13 Beaches,Lust For Life,0.347,0.398
24,Honeymoon,0.284,0.372
American,Paradise,0.397,0.585
Art Deco,Honeymoon,0.282,0.464
Bartender,Norman Fucking Rockwell!,0.582,0.109
Beautiful People Beautiful Problems (feat. Stevie Nicks),Lust For Life,0.492,0.411
Bel Air,Paradise,0.346,0.42
Black Beauty,Ultraviolence,0.32,0.53
Blue Jeans,Born To Die,0.571,0.831
Blue Jeans - Album Version - Remastered,Born To Die,0.5515000000000001,0.8265
Blue Velvet,Paradise,0.189,0.317
Body Electric,Paradise,0.245,0.492
Born To Die,Born To Die,0.316,0.636
Born To Die - Woodkid & The Shoes Remix,Born To Die,0.581,0.675
Brooklyn Baby,Ultraviolence,0.404,0.664
Brooklyn Baby - Audio Commentary,Ultraviolence - Audio Commentary,0.729,0.228
Burnt Norton - Interlude,Honeymoon,0.28,0.304
California,Norman Fucking Rockwell!,0.439,0.412
Carmen,Born To Die,0.506,0.424
Change,Lust For Life,0.383,0.239
Cherry,Lust For Life,0.449,0.549
Cinnamon Girl,Norman Fucking Rockwell!,0.292,0.334
Coachella - Woodstock In My Mind,Lust For Life,0.544,0.658
Cola,Paradise,0.298,0.668
Cruel World,Ultraviolence,0.3295,0.507
Cruel World - Audio Commentary,Ultraviolence - Audio Commentary,0.743,0.216
Dark Paradise,Born To Die,0.582,0.64
Diet Mountain Dew,Born To Die,0.459,0.684
Doin' Time,Norman Fucking Rockwell!,0.649,0.538
Don't Let Me Be Misunderstood,Honeymoon,0.327,0.351
Florida Kilos,Ultraviolence,0.266,0.508
Freak,Honeymoon,0.287,0.43
Fuck it I love you,Norman Fucking Rockwell!,0.532,0.452
Fucked My Way Up To The Top,Ultraviolence,0.52,0.69
Fucked My Way Up To The Top - Audio Commentary,Ultraviolence - Audio Commentary,0.728,0.192
Get Free,Lust For Life,0.396,0.479
God Bless America - And All The Beautiful Women In It,Lust For Life,0.494,0.703
God Knows I Tried,Honeymoon,0.398,0.428
Gods & Monsters,Paradise,0.352,0.725
Groupie Love (feat. A$AP Rocky),Lust For Life,0.346,0.596
Guns And Roses,Ultraviolence,0.535,0.66
Happiness is a butterfly,Norman Fucking Rockwell!,0.456,0.126
Heroin,Lust For Life,0.353,0.411
High By The Beach,Honeymoon,0.536,0.486
Honeymoon,Honeymoon,0.169,0.269
hope is a dangerous thing for a woman like me to have - but I have it,Norman Fucking Rockwell!,0.461,0.102
How to disappear,Norman Fucking Rockwell!,0.326,0.303
In My Feelings,Lust For Life,0.505,0.674
Love,Lust For Life,0.52,0.378
Love song,Norman Fucking Rockwell!,0.374,0.0694
Lust For Life (with The Weeknd),Lust For Life,0.503,0.671
Mariners Apartment Complex,Norman Fucking Rockwell!,0.545,0.26
Million Dollar Man,Born To Die,0.201,0.586
Money Power Glory,Ultraviolence,0.349,0.525
Money Power Glory - Audio Commentary,Ultraviolence - Audio Commentary,0.754,0.134
Music To Watch Boys To,Honeymoon,0.4,0.494
National Anthem,Born To Die,0.529,0.901
Norman fucking Rockwell,Norman Fucking Rockwell!,0.218,0.215
Off To The Races,Born To Die,0.392,0.7235
Old Money,Ultraviolence,0.312,0.168
Old Money - Audio Commentary,Ultraviolence - Audio Commentary,0.721,0.21
Pretty When You Cry,Ultraviolence,0.509,0.547
Pretty When You Cry - Audio Commentary,Ultraviolence - Audio Commentary,0.732,0.217
Radio,Born To Die,0.35750000000000004,0.843
Religion,Honeymoon,0.416,0.459
Ride,Paradise,0.373,0.686
Sad Girl,Ultraviolence,0.345,0.587
Sad Girl - Audio Commentary,Ultraviolence - Audio Commentary,0.795,0.178
Salvatore,Honeymoon,0.304,0.311
Shades Of Cool,Ultraviolence,0.262,0.482
Shades Of Cool - Audio Commentary,Ultraviolence - Audio Commentary,0,0.429
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lust For Life,0.76,0.574
Summertime Sadness,Born To Die,0.564,0.649
Swan Song,Honeymoon,0.34,0.361
Terrence Loves You,Honeymoon,0.296,0.25
The Blackest Day,Honeymoon,0.445,0.522
The greatest,Norman Fucking Rockwell!,0.414,0.23
The Next Best American Record,Norman Fucking Rockwell!,0.387,0.352
The Other Woman,Ultraviolence,0.255,0.468
The Other Woman - Audio Commentary,Ultraviolence - Audio Commentary,0.735,0.274
This Is What Makes Us Girls,Born To Die,0.534,0.837
Tomorrow Never Came (feat. Sean Ono Lennon),Lust For Life,0.284,0.405
Ultraviolence,Ultraviolence,0.144,0.541
Ultraviolence - Audio Commentary,Ultraviolence - Audio Commentary,0.743,0.279
Venice Bitch,Norman Fucking Rockwell!,0.404,0.298
Video Games - Remastered,Born To Die,0.251,0.256
Video Games - White Lies C-Mix,Born To Die,0.603,0.678
West Coast,Ultraviolence,0.527,0.591
West Coast - Audio Commentary,Ultraviolence - Audio Commentary,0.865,0.276
West Coast - Radio Mix,Ultraviolence,0.599,0.525
When The World Was At War We Kept Dancing,Lust For Life,0.616,0.595
White Mustang,Lust For Life,0.669,0.47
Yayo,Paradise,0.506,0.201
